id;lettre_motivation;date_postulation;statut;candidat_id;offre_id
1;../fake-data/blob/hipster.txt;2025-08-01T13:33:05;REFUSEE;1;1
2;../fake-data/blob/hipster.txt;2025-08-01T07:59:20;ACCEPTEE;2;2
3;../fake-data/blob/hipster.txt;2025-08-01T05:34:57;REFUSEE;1;3
4;../fake-data/blob/hipster.txt;2025-08-01T05:52:57;EN_ATTENTE;2;4
5;../fake-data/blob/hipster.txt;2025-08-01T05:49:08;ACCEPTEE;2;5
6;../fake-data/blob/hipster.txt;2025-08-01T13:40:59;ACCEPTEE;2;6
7;../fake-data/blob/hipster.txt;2025-07-31T17:22:46;REFUSEE;1;7
8;../fake-data/blob/hipster.txt;2025-07-31T18:59:50;EN_ATTENTE;1;8
9;../fake-data/blob/hipster.txt;2025-07-31T21:20:51;ACCEPTEE;2;9
10;../fake-data/blob/hipster.txt;2025-08-01T09:45:34;EN_ATTENTE;1;10
