id;region;departement;ville
1;debout vouh biathlète;photographier coin-coin rectangulaire;au-dessous de confesser
2;vaste conseil municipal;juriste outre;plic
3;refroidir joliment altruiste;ding assez;entièrement
4;du côté de entièrement;membre à vie;de sorte que sauf à bien que
5;entrer;après main-d’œuvre;à la faveur de hormis carrément
6;snif de façon à ce que;camarade à l'exception de;entre
7;de manière à ce que secours vorace;hebdomadaire dorénavant gai;tant puisque atchoum
8;déduire;rédaction également tandis que;tant que
9;toc allonger;doucement mature membre de l’équipe;snif volontiers super
10;actionnaire comprendre;personnel professionnel;retirer encore
