id;titre;description;salaire;date_publication;date_expiration;recruteur_id;type_contrat_id;localisation_id
1;toujours lorsque;../fake-data/blob/hipster.txt;6157.32;2025-08-01T00:48:50;2025-07-31T23:07:31;1;1;1
2;debout;../fake-data/blob/hipster.txt;22450.95;2025-07-31T20:13:51;2025-07-31T17:21:29;2;2;2
3;blablabla;../fake-data/blob/hipster.txt;28075.3;2025-07-31T21:52:37;2025-07-31T15:41:36;1;3;3
4;en vérité;../fake-data/blob/hipster.txt;6074.72;2025-08-01T09:31:08;2025-08-01T12:31:41;2;4;4
5;au-dessous de de crainte que collègue;../fake-data/blob/hipster.txt;17222.72;2025-08-01T03:31:23;2025-08-01T11:24:48;1;5;5
6;suffisamment;../fake-data/blob/hipster.txt;1981.15;2025-08-01T10:55:10;2025-08-01T07:45:43;2;6;6
7;à l'encontre de derrière;../fake-data/blob/hipster.txt;17299.74;2025-07-31T20:25:07;2025-08-01T01:26:03;2;7;7
8;en outre de chef;../fake-data/blob/hipster.txt;3007.83;2025-07-31T23:41:22;2025-07-31T17:30:36;2;8;8
9;plutôt déjà;../fake-data/blob/hipster.txt;27588.45;2025-08-01T02:53:30;2025-08-01T07:50:23;2;9;9
10;autant franco fleurir;../fake-data/blob/hipster.txt;23487.33;2025-07-31T22:41:06;2025-07-31T18:12:12;2;10;10
